token,count
order,14419
delivery,14087
prime,11207
que,8275
service,8187
day,8016
delivered,7732
customer,7625
time,7280
today,6889
help,6045
days,5955
email,5736
don,5733
there,5620
package,5365
ordered,5280
product,4711
account,4645
amp,4501
refund,4455
back,4078
even,4049
received,4019
call,3992
need,3911
says,3906
item,3843
already,3832
again,3734
after,3723
want,3640
then,3629
same,3610
like,3564
est,3550
know,3520
only,3402
here,3320
shipping,3274
issue,3270
which,3206
deliver,3186
yet,3152
guys,3149
last,3117
said,3093
didn,3029
never,3026
phone,2998
