conversation_id,split
275,golden
324,development
619,development
620,development
625,retrieval
629,development
631,development
633,development
635,development
637,development
647,development
648,development
655,development
656,golden
660,development
663,development
666,development
692,retrieval
694,development
1694,golden
1703,development
1705,retrieval
1709,development
1712,golden
1714,development
1719,development
1730,golden
1738,retrieval
1742,golden
1746,development
1749,development
1751,development
2545,golden
2550,golden
2557,golden
2562,golden
2564,retrieval
2567,development
2576,retrieval
2582,development
2583,development
2601,retrieval
3723,retrieval
3730,development
3734,development
3738,development
3739,golden
3741,retrieval
3743,development
3757,development
3758,golden
4787,development
4828,development
4830,development
4833,development
4851,development
4860,development
4866,development
4867,retrieval
4948,development
4953,golden
4958,retrieval
5116,golden
5122,development
5129,development
5135,golden
5136,development
5138,development
5143,development
5148,development
5153,development
5281,retrieval
5286,development
5287,retrieval
5290,development
5295,development
5297,development
5299,development
5301,golden
5305,golden
5316,development
5329,golden
5777,golden
5781,golden
5787,retrieval
5790,golden
5794,development
5800,golden
5802,development
5804,golden
6961,development
6997,retrieval
7012,retrieval
8510,development
8512,development
8517,development
8518,development
8520,golden
8523,development
8535,development
8538,development
8539,development
8580,development
9121,development
9124,development
9131,development
9134,golden
9136,development
9149,development
9778,retrieval
9782,golden
9786,retrieval
9787,golden
9792,development
9793,development
9795,development
9797,development
9808,development
9809,golden
9813,development
9816,development
9820,development
9822,development
9824,development
9864,development
9871,development
9954,golden
10320,development
10623,golden
10625,golden
10628,development
10630,retrieval
10643,development
10644,development
10648,retrieval
10651,retrieval
10652,development
10655,development
10657,development
10659,development
10661,golden
10663,development
11014,development
11023,development
11035,golden
11040,development
11043,development
11045,golden
11051,development
11057,development
11061,development
11069,development
11076,retrieval
11082,development
11088,development
11089,development
11340,development
11406,development
11427,development
11567,development
11577,golden
11591,retrieval
11595,development
11599,development
11607,retrieval
11613,golden
11614,development
11616,development
11620,development
11623,development
11625,development
11973,development
11978,golden
11986,retrieval
12495,development
12501,retrieval
12506,development
12507,development
12508,development
12512,development
