brand,conversation_count,resolved_conversations,mixed_brand_conversations,avg_conversation_length,median_conversation_length,max_conversation_length,resolved_conversation_rate,multi_turn_resolved_rate,total_tweets,company_responses,customer_messages,response_rate
AmazonHelp,82556,82556,310,4.530766994524929,3.0,448,1.0,0.620911865884975,374042,169840,203830,0.7603198744051416
AppleSupport,80717,80717,165,2.959810201072884,2.0,282,1.0,0.3486750003097241,238907,106860,131881,0.808478855938308
Uber_Support,41923,41923,75,3.066335901533764,2.0,534,1.0,0.35989790806955607,128550,56270,72204,0.7642512880172844
SpotifyCares,28280,28277,56,3.249257425742574,2.0,354,0.9998939179632249,0.3712871287128713,91889,43265,48589,0.855852147605425
AmericanAir,26386,26386,445,3.319336011521261,2.0,204,1.0,0.43875540059122264,87584,36764,50420,0.7230662435541452
Delta,26168,26166,261,3.3626566799143993,2.0,209,0.9999235707734637,0.4259400794863956,87994,42253,45505,0.7940665860894407
comcastcares,24063,24063,261,3.0357395171009434,2.0,651,1.0,0.365457341146158,73049,33031,39769,0.7636349920792577
TMobileHelp,22820,22820,373,3.6253286590709903,2.0,974,1.0,0.378045574057844,82730,34317,47396,0.7139210059920669
SouthwestAir,21636,21634,247,2.991588093917545,2.0,1060,0.9999075614716214,0.3342114993529303,64726,28977,35581,0.7949467412383013
Ask_Spectrum,18532,18531,158,3.218109216490395,2.0,651,0.9999460392834016,0.35398230088495575,59638,25860,33366,0.7485464245039861
Tesco,16722,16722,156,4.375014950364789,4.0,551,1.0,0.6954311685205119,73159,38573,34376,0.7354549685827322
British_Airways,16452,16452,110,3.690493557014345,3.0,123,1.0,0.536712861658157,60716,29361,31275,0.7700719424460432
UPSHelp,15523,15523,368,2.870063776331895,2.0,456,1.0,0.3446498743799523,44552,17817,26021,0.6764152031051843
hulu_support,14955,14952,84,3.2962219993313275,2.0,584,0.9997993981945837,0.39431628217987297,49295,21872,26878,0.7987201428677729
VirginTrains,14853,14851,87,4.430754729684239,3.0,203,0.9998653470679324,0.6184609169864674,65810,27817,37878,0.6935952267807171
ChipotleTweets,14392,14392,7,2.9071706503613117,2.0,308,1.0,0.33838243468593665,41840,18749,23089,0.8040625406037507
sprintcare,13560,13560,389,3.986061946902655,2.0,974,1.0,0.4707227138643068,54051,22381,30457,0.6575171553337492
XboxSupport,13455,13435,101,4.285172798216276,3.0,584,0.998513563730955,0.6240059457450762,57657,24557,32455,0.6228008011092282
AskPlayStation,12533,12533,14,3.4417936647251257,2.0,193,1.0,0.45695364238410596,43136,19098,23963,0.7782831865793097
AskTarget,11151,11151,48,2.74818401937046,2.0,87,1.0,0.33925208501479687,30645,13218,17407,0.7545814902050899
ATVIAssist,11113,11113,51,4.350850355439575,2.0,1390,1.0,0.49176639971204894,48351,17650,30548,0.5525402645017677
sainsburys,10934,10934,186,3.997530638375709,3.0,551,1.0,0.5698737881836473,43709,19466,23880,0.7419179229480737
GWRHelp,10732,10732,96,4.3647968691762955,3.0,222,1.0,0.6476891539321655,46843,19364,27321,0.6773544160169833
AskLyft,10170,10170,44,2.6769911504424777,2.0,173,1.0,0.2976401179941003,27225,11809,15328,0.7461508350730689
AskPayPal,9589,9589,152,2.8297006987172804,2.0,168,1.0,0.3173427886119512,27134,11298,15658,0.7140758717588453
O2,9556,9556,35,3.8240895772289663,2.0,176,1.0,0.4654667224780243,36543,16212,20267,0.7870923175605664
Safaricom_Care,9337,9337,0,3.6121880689729036,3.0,243,1.0,0.5312198779051087,33727,16077,17650,0.7864589235127478
VerizonSupport,8447,8447,374,5.439445957144549,4.0,651,1.0,0.6648514265419676,45947,17966,26919,0.6513614918830566
McDonalds,8132,8132,11,2.403221839645844,2.0,291,1.0,0.17031480570585342,19543,8478,10947,0.7676989129441856
marksandspencer,7977,7976,50,3.252977309765576,2.0,471,0.9998746395888178,0.43876143913752036,25949,11504,14335,0.7294733170561563
ArgosHelpers,7553,7553,40,3.7521514629948367,3.0,83,1.0,0.5477293790546802,28340,12174,16118,0.710013649336146
